session_id,t_ms,type,human_present,range_cm,total_phase,breath_phase,heart_phase,breath_rate,heart_rate,quality_flag
session_0005,0,0x0a38,,,,,,,,1
session_0005,835,0x0a38,,,,,,,,0
session_0005,1652,0x0a38,,,,,,,,0
session_0005,2486,0x0a38,,,,,,,,0
session_0005,3303,0x0a38,,,,,,,,0
session_0005,4116,0x0a38,,,,,,,,0
session_0005,4935,0x0a38,,,,,,,,0
session_0005,5750,0x0a38,,,,,,,,0
session_0005,6550,0x0a38,,,,,,,,0
session_0005,7371,0x0a38,,,,,,,,0
session_0005,8190,0x0a38,,,,,,,,0
session_0005,9000,0x0a38,,,,,,,,0
session_0005,9826,0x0a38,,,,,,,,0
session_0005,10630,0x0a38,,,,,,,,0
session_0005,11437,0x0a38,,,,,,,,0
session_0005,12247,0x0a38,,,,,,,,0
session_0005,13078,0x0a38,,,,,,,,0
session_0005,13914,0x0a38,,,,,,,,0
session_0005,14740,0x0a38,,,,,,,,0
session_0005,15557,0x0a38,,,,,,,,0
session_0005,16364,0x0a38,,,,,,,,0
session_0005,17171,0x0a38,,,,,,,,0
session_0005,17985,phase,,,-0.121,0.012,-0.136,,,0
session_0005,18827,phase,,,0.244,-0.068,0.489,,,0
session_0005,19649,phase,,,-0.263,0.109,-0.220,,,0
session_0005,20481,phase,,,0.057,0.010,1.532,,,0
session_0005,21312,phase,,,0.237,-0.094,0.665,,,0
session_0005,22149,0x0a38,,,0.237,-0.094,0.665,,,0
session_0005,22985,phase,,,0.328,0.129,-0.405,,,0
session_0005,23817,0x0a38,,,0.328,0.129,-0.405,,,0
session_0005,24626,0x0a38,,,0.328,0.129,-0.405,,,0
session_0005,25444,0x0a38,,,0.328,0.129,-0.405,,,0
session_0005,26255,breath_rate,,,0.328,0.129,-0.405,17.000,,0
session_0005,27091,0x0a38,,,0.328,0.129,-0.405,17.000,,0
session_0005,27911,phase,,,0.102,-0.118,0.001,17.000,,0
session_0005,28734,phase,,,-0.366,-0.037,-0.295,17.000,,0
session_0005,29562,phase,,,0.061,-0.046,0.040,17.000,,0
session_0005,30385,phase,,,-0.392,-0.013,0.417,17.000,,0
session_0005,31204,phase,,,0.389,0.312,-0.011,17.000,,0
session_0005,32026,0x0a38,,,0.389,0.312,-0.011,17.000,,0
session_0005,32836,0x0a38,,,0.389,0.312,-0.011,17.000,,0
session_0005,33654,0x0a38,,,0.389,0.312,-0.011,17.000,,0
session_0005,34457,breath_rate,,,0.389,0.312,-0.011,11.000,,0
session_0005,35285,0x0a38,,,0.389,0.312,-0.011,11.000,,0
session_0005,36097,0x0a38,,,0.389,0.312,-0.011,11.000,,0
session_0005,36907,0x0a38,,,0.389,0.312,-0.011,11.000,,0
session_0005,37717,0x0a38,,,0.389,0.312,-0.011,11.000,,0
session_0005,38552,0x0a38,,,0.389,0.312,-0.011,11.000,,0
session_0005,39355,0x0a38,,,0.389,0.312,-0.011,11.000,,0
session_0005,40155,0x0a38,,,0.389,0.312,-0.011,11.000,,0
session_0005,40965,0x0a38,,,0.389,0.312,-0.011,11.000,,0
