label,file,start_sample,selected_energy,board_energy,board_valid,compare,mean_abs,max_abs,p95_abs,rmse,cosine,corr
cough,D:\cough_model_train\DATA\cough\cough_READY\cough\cough_000001\data.wav,32000,0.02340335254780062,0.023403352530772144,1,pc_vs_board_current,0.15458550247975575,1.1244484782218933,0.4418047130107875,0.21139158566188687,0.9776567970881397,0.977656797088138
cough,D:\cough_model_train\DATA\cough\cough_READY\cough\cough_000001\data.wav,32000,0.02340335254780062,0.023403352530772144,1,pc_conditioned_vs_board,0.15458538606866984,1.1244484782218933,0.44180470108985853,0.21139128809723498,0.9776568605306358,0.9776568605306366
cough,D:\cough_model_train\DATA\cough\cough_READY\cough\cough_000001\data.wav,32000,0.02340335254780062,0.023403352530772144,1,pc_htk_none_conditioned_vs_board,0.012319768997654723,0.2402910590171814,0.0486761674284935,0.022833996871613284,0.9997393042876153,0.9997393042876186
cough,D:\cough_model_train\DATA\cough\cough_READY\cough\cough_000002\data.wav,8000,0.05839803311023321,0.05839803316573951,1,pc_vs_board_current,0.2498027936692878,1.4712581187486649,0.7030634522438048,0.33355187004087916,0.9443715650217092,0.9443715650217184
cough,D:\cough_model_train\DATA\cough\cough_READY\cough\cough_000002\data.wav,8000,0.05839803311023321,0.05839803316573951,1,pc_conditioned_vs_board,0.24980769222815485,1.471250131726265,0.7030692994594573,0.3335550019687381,0.9443705188979233,0.9443705188979225
cough,D:\cough_model_train\DATA\cough\cough_READY\cough\cough_000002\data.wav,8000,0.05839803311023321,0.05839803316573951,1,pc_htk_none_conditioned_vs_board,0.020844971366071573,0.5026321709156036,0.0780862882733345,0.0404092520070009,0.9991835460659121,0.9991835460659112
cough,D:\cough_model_train\DATA\cough\cough_READY\cough\cough_000003\data.wav,8000,0.017004003994539378,0.01700400399236876,1,pc_vs_board_current,0.17466966746163745,1.405197024345398,0.5482035372406242,0.25524586846611824,0.9674247695805346,0.9674247695805338
cough,D:\cough_model_train\DATA\cough\cough_READY\cough\cough_000003\data.wav,8000,0.017004003994539378,0.01700400399236876,1,pc_conditioned_vs_board,0.17466634857388488,1.4051976203918457,0.5482039678841827,0.2552447918810632,0.9674250449766848,0.9674250449766874
cough,D:\cough_model_train\DATA\cough\cough_READY\cough\cough_000003\data.wav,8000,0.017004003994539378,0.01700400399236876,1,pc_htk_none_conditioned_vs_board,0.013018241955033224,0.3611249327659607,0.04859174042940137,0.026755287987395876,0.999642077258614,0.9996420772586125
cough,D:\cough_model_train\DATA\cough\cough_READY\cough\cough_000004\data.wav,24000,0.019143661018649567,0.019143661033787184,1,pc_vs_board_current,0.12982016165925497,1.369716890156269,0.45812661945819827,0.21768807300832052,0.9763059507716579,0.9763059507716567
