device,tick_ms,sequence,valid,block_index,sample_index,left,right,sample_count,min,max,peak_abs,mean_abs,frame_id,radar_type,frame_len,data_len,driver_drop,msg_drop,frame_hex,radar_decoded
radar,540229,31685,1,0,,,,,,,,,31685,0x0a16,17,8,0,0,017BC500080A1654010000008FC20942F8,range_flag=1;range_cm=34.440
radar,540230,31686,1,3,,,,,,,,,31686,0x0f09,11,2,0,0,017BC600020F09470100FE,human_present=1
radar,540231,31687,1,2,,,,,,,,,31687,0x0a17,17,8,0,0,017BC700080A17575A45913D049FC43E2D,
radar,540233,31688,1,3,,,,,,,,,31688,0x0a13,21,12,0,0,017BC8000C0A135840BD173EC0A4CB3B50F7A0BC04,total_phase=0.148;breath_phase=0.006;heart_phase=-0.020
radar,540234,31689,1,2,,,,,,,,,31689,0x0a14,13,4,0,0,017BC900040A14560000A0411E,breath_rate_per_min=20.000
radar,540239,31690,1,3,,,,,,,,,31690,0x0100,33,24,0,0,017BCA00180100566272656174682072617465203D2032302E30303030303020E4,text=breath rate = 20.000000
radar,540271,31691,1,2,,,,,,,,,31691,0x0a38,10,1,0,0,017BCB00010A387D02FD,
radar,540295,31692,1,3,,,,,,,,,31692,0x0a13,21,12,0,0,017BCC000C0A135C001A4D3E00F0213A5C9BB63C30,total_phase=0.200;breath_phase=0.001;heart_phase=0.022
radar,540329,31693,1,2,,,,,,,,,31693,0x0a38,10,1,0,0,017BCD00010A387B02FD,
radar,540330,31694,1,3,,,,,,,,,31694,0x0a18,11,2,0,0,017BCE00020A185B0200FD,
radar,540330,31695,1,0,,,,,,,,,31695,0x0a16,17,8,0,0,017BCF00080A165E010000008FC20942F8,range_flag=1;range_cm=34.440
radar,540331,31696,1,4,,,,,,,,,31696,0x0f09,11,2,0,0,017BD000020F09510100FE,human_present=1
radar,540332,31697,1,3,,,,,,,,,31697,0x0a17,17,8,0,0,017BD100080A17415A45913D049FC43E2D,
radar,540335,31698,1,4,,,,,,,,,31698,0x0a13,21,12,0,0,017BD2000C0A134280BD8A3EE0D0BABB8C3E863D4E,total_phase=0.271;breath_phase=-0.006;heart_phase=0.066
radar,540336,31699,1,3,,,,,,,,,31699,0x0a14,13,4,0,0,017BD300040A144C0000984126,breath_rate_per_min=19.000
radar,540339,31700,1,4,,,,,,,,,31700,0x0100,33,24,0,0,017BD400180100486272656174682072617465203D2031392E30303030303020EE,text=breath rate = 19.000000
radar,540340,31701,1,3,,,,,,,,,31701,0x0a15,13,4,0,0,017BD500040A154B0000AC4211,heart_rate_bpm=86.000
radar,540343,31702,1,0,,,,,,,,,31702,0x0100,32,23,0,0,017BD6001701004568656172742072617465203D2038362E303030303030208A,text=heart rate = 86.000000
radar,540376,31703,1,3,,,,,,,,,31703,0x0a38,10,1,0,0,017BD700010A386102FD,
