session_id,t_ms,frame_id,radar_type,frame_len,data_len,frame_hex
radar_s005,0,19156,0x0a38,10,1,014AD400010A385302FD
radar_s005,1,19157,0x0a18,11,2,014AD500020A18710200FD
radar_s005,2,19158,0x0a16,17,8,014AD600080A1676010000008FC20942F8
radar_s005,3,19159,0x0f09,11,2,014AD700020F09670100FE
radar_s005,4,19160,0x0a17,17,8,014AD800080A17799600953DE40BE13EF1
radar_s005,7,19161,0x0a13,21,12,014AD9000C0A137800FFA33E0044E7BB41EE6B3E7F
radar_s005,10,19162,0x0a14,13,4,014ADA00040A1474000080413E
radar_s005,11,19163,0x0100,33,24,014ADB00180100766272656174682072617465203D2031362E30303030303020E1
radar_s005,44,19164,0x0a38,10,1,014ADC00010A385B02FD
radar_s005,70,19165,0x0a13,21,12,014ADD000C0A137C40C4C0BF8091FE3CC887963E30
radar_s005,101,19166,0x0a38,10,1,014ADE00010A385902FD
radar_s005,102,19167,0x0a18,11,2,014ADF00020A187B0200FD
radar_s005,103,19168,0x0a16,17,8,014AE000080A1640010000008FC20942F8
radar_s005,104,19169,0x0f09,11,2,014AE100020F09510100FE
radar_s005,105,19170,0x0a17,17,8,014AE200080A17439600953DE40BE13EF1
radar_s005,109,19171,0x0a13,21,12,014AE3000C0A1342E0059D3F80A48A3D4C608B3EB2
radar_s005,110,19172,0x0a14,13,4,014AE400040A144A000080413E
radar_s005,112,19173,0x0100,33,24,014AE500180100486272656174682072617465203D2031362E30303030303020E1
radar_s005,145,19174,0x0a38,10,1,014AE600010A386102FD
radar_s005,170,19175,0x0a13,21,12,014AE7000C0A13468006B03E6039D13DA9602A3E9F
radar_s005,201,19176,0x0a38,10,1,014AE800010A386F02FD
radar_s005,202,19177,0x0a18,11,2,014AE900020A184D0200FD
radar_s005,204,19178,0x0a16,17,8,014AEA00080A164A010000008FC20942F8
radar_s005,205,19179,0x0f09,11,2,014AEB00020F095B0100FE
radar_s005,206,19180,0x0a17,17,8,014AEC00080A174D9600953DE40BE13EF1
radar_s005,210,19181,0x0a13,21,12,014AED000C0A134C00BCE23D202C093E60DFF53BD6
radar_s005,211,19182,0x0a14,13,4,014AEE00040A1440000080413E
radar_s005,213,19183,0x0100,33,24,014AEF00180100426272656174682072617465203D2031362E30303030303020E1
radar_s005,246,19184,0x0a38,10,1,014AF000010A387702FD
radar_s005,270,19185,0x0a13,21,12,014AF1000C0A135000EEF73DB0A6263E6B0A1CBE16
radar_s005,303,19186,0x0a38,10,1,014AF200010A387502FD
radar_s005,304,19187,0x0a18,11,2,014AF300020A18570200FD
