session_id,t_ms,type,human_present,range_cm,total_phase,breath_phase,heart_phase,breath_rate,heart_rate,quality_flag
radar_s002,25,phase,,,-0.049,-0.054,-0.010,,,1
radar_s002,60,target_range,,28.700,,,,,,1
radar_s002,61,human_status,1,,,,,,,1
radar_s002,62,track_position,,,,,,,,1
radar_s002,65,phase,,,-0.835,-0.044,-0.019,,,1
radar_s002,66,breath_rate,,,,,,18.000,,1
radar_s002,71,text,,,,,,,,1
radar_s002,126,phase,,,-0.106,-0.035,-0.019,,,1
radar_s002,162,target_range,,28.700,,,,,,1
radar_s002,163,human_status,1,,,,,,,1
radar_s002,164,track_position,,,,,,,,1
radar_s002,166,phase,,,-0.755,-0.025,-0.016,,,1
radar_s002,170,breath_rate,,,,,,18.000,,1
radar_s002,171,text,,,,,,,,1
radar_s002,230,phase,,,-0.609,-0.015,-0.015,,,1
radar_s002,264,target_range,,28.700,,,,,,1
radar_s002,265,human_status,1,,,,,,,1
radar_s002,266,track_position,,,,,,,,1
radar_s002,270,phase,,,0.408,-0.006,-0.017,,,1
radar_s002,271,breath_rate,,,,,,18.000,,1
radar_s002,273,text,,,,,,,,1
radar_s002,329,phase,,,0.966,0.002,-0.018,,,1
radar_s002,365,target_range,,28.700,,,,,,1
radar_s002,366,human_status,1,,,,,,,1
radar_s002,367,track_position,,,,,,,,1
radar_s002,370,phase,,,1.162,0.009,-0.008,,,1
radar_s002,371,breath_rate,,,,,,18.000,,1
radar_s002,374,text,,,,,,,,1
radar_s002,431,phase,,,0.065,0.015,0.016,,,1
radar_s002,466,target_range,,28.700,,,,,,1
radar_s002,467,human_status,1,,,,,,,1
radar_s002,470,track_position,,,,,,,,1
radar_s002,471,phase,,,-0.644,0.020,0.053,,,1
radar_s002,472,breath_rate,,,,,,18.000,,1
radar_s002,475,text,,,,,,,,1
radar_s002,476,heart_rate,,,,,,,76.000,1
radar_s002,480,text,,,,,,,,1
radar_s002,536,phase,,,1.262,0.025,0.093,,,1
radar_s002,572,target_range,,28.700,,,,,,1
radar_s002,573,human_status,1,,,,,,,1
radar_s002,574,track_position,,,,,,,,1
radar_s002,577,phase,,,-0.517,0.029,0.119,,,1
radar_s002,580,breath_rate,,,,,,19.000,,1
radar_s002,581,text,,,,,,,,1
radar_s002,639,phase,,,-0.406,0.033,0.110,,,1
radar_s002,673,target_range,,28.700,,,,,,1
radar_s002,674,human_status,1,,,,,,,1
radar_s002,676,track_position,,,,,,,,1
radar_s002,680,phase,,,0.428,0.037,0.054,,,1
