session_id,t_ms,type,human_present,range_cm,total_phase,breath_phase,heart_phase,breath_rate,heart_rate,quality_flag
radar_s001,1,target_range,,28.700,,,,,,1
radar_s001,1,human_status,1,,,,,,,1
radar_s001,3,track_position,,,,,,,,1
radar_s001,5,phase,,,0.172,-0.076,0.133,,,1
radar_s001,9,breath_rate,,,,,,8.000,,1
radar_s001,10,text,,,,,,,,1
radar_s001,11,heart_rate,,,,,,,86.000,1
radar_s001,14,text,,,,,,,,1
radar_s001,70,phase,,,-0.030,-0.078,0.120,,,1
radar_s001,105,target_range,,28.700,,,,,,1
radar_s001,106,human_status,1,,,,,,,1
radar_s001,109,track_position,,,,,,,,1
radar_s001,110,phase,,,-0.102,-0.079,0.084,,,1
radar_s001,111,breath_rate,,,,,,7.000,,1
radar_s001,114,text,,,,,,,,1
radar_s001,172,phase,,,-0.126,-0.079,0.052,,,1
radar_s001,210,target_range,,28.700,,,,,,1
radar_s001,210,human_status,1,,,,,,,1
radar_s001,211,track_position,,,,,,,,1
radar_s001,212,phase,,,-0.077,-0.079,0.037,,,1
radar_s001,213,breath_rate,,,,,,7.000,,1
radar_s001,216,text,,,,,,,,1
radar_s001,274,phase,,,-0.482,-0.079,0.031,,,1
radar_s001,310,target_range,,28.700,,,,,,1
radar_s001,311,human_status,1,,,,,,,1
radar_s001,312,track_position,,,,,,,,1
radar_s001,315,phase,,,-0.090,-0.078,0.010,,,1
radar_s001,316,breath_rate,,,,,,7.000,,1
radar_s001,319,text,,,,,,,,1
radar_s001,376,phase,,,0.268,-0.076,-0.041,,,1
radar_s001,411,target_range,,28.700,,,,,,1
radar_s001,412,human_status,1,,,,,,,1
radar_s001,414,track_position,,,,,,,,1
radar_s001,416,phase,,,0.248,-0.075,-0.115,,,1
radar_s001,419,breath_rate,,,,,,6.000,,1
radar_s001,420,text,,,,,,,,1
radar_s001,481,phase,,,-0.525,-0.073,-0.182,,,1
radar_s001,514,target_range,,28.700,,,,,,1
radar_s001,515,human_status,1,,,,,,,1
radar_s001,520,track_position,,,,,,,,1
radar_s001,520,phase,,,-0.299,-0.072,-0.203,,,1
radar_s001,521,breath_rate,,,,,,6.000,,1
radar_s001,523,text,,,,,,,,1
radar_s001,524,heart_rate,,,,,,,82.000,1
radar_s001,527,text,,,,,,,,1
radar_s001,585,phase,,,-0.649,-0.070,-0.159,,,1
radar_s001,621,target_range,,28.700,,,,,,1
radar_s001,622,human_status,1,,,,,,,1
radar_s001,623,track_position,,,,,,,,1
radar_s001,625,phase,,,-0.397,-0.068,-0.060,,,1
radar_s001,626,breath_rate,,,,,,6.000,,1
radar_s001,629,text,,,,,,,,1
radar_s001,686,phase,,,0.030,-0.067,0.052,,,1
radar_s001,721,target_range,,28.700,,,,,,1
radar_s001,722,human_status,1,,,,,,,1
radar_s001,723,track_position,,,,,,,,1
radar_s001,726,phase,,,0.115,-0.066,0.127,,,1
radar_s001,729,breath_rate,,,,,,5.000,,1
radar_s001,730,text,,,,,,,,1
radar_s001,786,phase,,,0.085,-0.066,0.132,,,1
radar_s001,822,target_range,,28.700,,,,,,1
radar_s001,823,human_status,1,,,,,,,1
radar_s001,824,track_position,,,,,,,,1
radar_s001,827,phase,,,0.299,-0.066,0.073,,,1
radar_s001,830,breath_rate,,,,,,5.000,,1
radar_s001,831,text,,,,,,,,1
radar_s001,891,phase,,,-0.491,-0.066,-0.012,,,1
radar_s001,923,target_range,,28.700,,,,,,1
radar_s001,924,human_status,1,,,,,,,1
radar_s001,926,track_position,,,,,,,,1
radar_s001,929,phase,,,-0.867,-0.067,-0.068,,,1
radar_s001,930,breath_rate,,,,,,5.000,,1
radar_s001,932,text,,,,,,,,1
radar_s001,990,phase,,,0.217,-0.068,-0.057,,,1
radar_s001,1025,target_range,,28.700,,,,,,1
radar_s001,1026,human_status,1,,,,,,,1
radar_s001,1029,track_position,,,,,,,,1
radar_s001,1030,phase,,,0.565,-0.069,0.018,,,1
radar_s001,1031,breath_rate,,,,,,5.000,,1
radar_s001,1034,text,,,,,,,,1
radar_s001,1035,heart_rate,,,,,,,79.000,1
radar_s001,1039,text,,,,,,,,1
radar_s001,1095,phase,,,0.242,-0.070,0.115,,,1
radar_s001,1130,target_range,,28.700,,,,,,1
radar_s001,1131,human_status,1,,,,,,,1
radar_s001,1132,track_position,,,,,,,,1
