session_id,t_ms,frame_id,radar_type,frame_len,data_len,frame_hex
radar_s006,0,29594,0x0a38,10,1,01739A00010A382401FE
radar_s006,28,29595,0x0a13,21,12,01739B000C0A1303007051BC9B86283E788C983C39
radar_s006,59,29596,0x0a38,10,1,01739C00010A382201FE
radar_s006,62,29597,0x0a04,29,20,01739D00140A040A010000001F53523CFA9CB93E00000000000000003D
radar_s006,63,29598,0x0a18,11,2,01739E00020A18030100FE
radar_s006,64,29599,0x0a16,17,8,01739F00080A1606010000008FC20942F8
radar_s006,65,29600,0x0f09,11,2,0173A000020F09290100FE
radar_s006,68,29601,0x0a17,17,8,0173A100080A17394475013C9374BF3E95
radar_s006,69,29602,0x0a13,21,12,0173A2000C0A133A0084723E3E021D3EAECD223E57
radar_s006,70,29603,0x0a14,13,4,0173A300040A14340000A0411E
radar_s006,73,29604,0x0100,33,24,0173A400180100306272656174682072617465203D2032302E30303030303020E4
radar_s006,107,29605,0x0a38,10,1,0173A500010A381B01FE
radar_s006,131,29606,0x0a13,21,12,0173A6000C0A133E0064AF3E1E060E3E404D993E88
radar_s006,164,29607,0x0a38,10,1,0173A700010A381901FE
radar_s006,169,29608,0x0a04,29,20,0173A800140A043F010000002D99583C3F2BBD3E0000000000000000B9
radar_s006,169,29609,0x0a18,11,2,0173A900020A18340100FE
radar_s006,170,29610,0x0a16,17,8,0173AA00080A1633010000008FC20942F8
radar_s006,170,29611,0x0f09,11,2,0173AB00020F09220100FE
radar_s006,171,29612,0x0a17,17,8,0173AC00080A173438072D3CE94FBE3EF7
radar_s006,173,29613,0x0a13,21,12,0173AD000C0A133500DBEF3E5C1BF83D3EEBBC3E20
radar_s006,174,29614,0x0a14,13,4,0173AE00040A14390000A0411E
radar_s006,179,29615,0x0100,33,24,0173AF001801003B6272656174682072617465203D2032302E30303030303020E4
radar_s006,210,29616,0x0a38,10,1,0173B000010A380E01FE
radar_s006,235,29617,0x0a13,21,12,0173B1000C0A1329005C1F3E8080CF3DBA579F3E3C
radar_s006,268,29618,0x0a38,10,1,0173B200010A380C01FE
radar_s006,271,29619,0x0a04,29,20,0173B300140A0424010000002A2A6E3CC69EBB3E000000000000000071
radar_s006,272,29620,0x0a18,11,2,0173B400020A18290100FE
radar_s006,273,29621,0x0a16,17,8,0173B500080A162C010000008FC20942F8
radar_s006,274,29622,0x0f09,11,2,0173B600020F093F0100FE
radar_s006,279,29623,0x0a17,17,8,0173B700080A172FB1984D3C58F7BC3E8A
radar_s006,279,29624,0x0a13,21,12,0173B8000C0A132000F4123E7CC5A33D1CD0ED3D1C
radar_s006,280,29625,0x0a14,13,4,0173B900040A142E0000A0411E
radar_s006,282,29626,0x0100,33,24,0173BA001801002E6272656174682072617465203D2032302E30303030303020E4
radar_s006,283,29627,0x0a15,13,4,0173BB00040A152D0000B2420F
radar_s006,287,29628,0x0100,32,23,0173BC001701002768656172742072617465203D2038392E3030303030302085
radar_s006,319,29629,0x0a38,10,1,0173BD00010A380301FE
radar_s006,347,29630,0x0a13,21,12,0173BE000C0A13260028383DA0146D3D2C4C2ABEC2
radar_s006,379,29631,0x0a38,10,1,0173BF00010A380101FE
radar_s006,383,29632,0x0a04,29,20,0173C000140A04570100000090797A3CDEB0B83E0000000000000000B9
radar_s006,383,29633,0x0a18,11,2,0173C100020A185C0100FE
radar_s006,388,29634,0x0a16,17,8,0173C200080A165B010000008FC20942F8
radar_s006,388,29635,0x0f09,11,2,0173C300020F094A0100FE
radar_s006,389,29636,0x0a17,17,8,0173C400080A175C2009643C1BD4BA3EC5
radar_s006,390,29637,0x0a13,21,12,0173C5000C0A135D80B3AEBEA0C5123DA595E1BEF9
radar_s006,391,29638,0x0a14,13,4,0173C600040A14510000A0411E
radar_s006,394,29639,0x0100,33,24,0173C700180100536272656174682072617465203D2032302E30303030303020E4
