session_id,t_ms,type,human_present,range_cm,total_phase,breath_phase,heart_phase,breath_rate,heart_rate,quality_flag
radar_s001,5809,0x0a38,1,,0.026,0.138,0.160,19.000,,0
radar_s001,5874,0x0a38,1,,0.026,0.138,0.160,19.000,,0
radar_s001,5939,phase,1,,-0.204,0.116,0.016,19.000,,0
radar_s001,6011,0x0a38,1,,-0.204,0.116,0.016,19.000,,0
radar_s001,6076,0x0a38,1,,-0.204,0.116,0.016,19.000,,0
radar_s001,6142,phase,1,,0.055,0.102,-0.184,19.000,,0
radar_s001,6214,0x0a38,1,,0.055,0.102,-0.184,19.000,,0
radar_s001,6279,0x0a38,1,,0.055,0.102,-0.184,19.000,,0
radar_s001,6344,0x0a38,1,,0.055,0.102,-0.184,19.000,,0
radar_s001,6409,breath_rate,1,,0.055,0.102,-0.184,17.000,,0
radar_s001,6477,0x0a38,1,,0.055,0.102,-0.184,17.000,,0
radar_s001,6542,0x0a38,1,,0.055,0.102,-0.184,17.000,,0
radar_s001,6607,breath_rate,1,,0.055,0.102,-0.184,17.000,,0
radar_s001,6675,0x0a38,1,,0.055,0.102,-0.184,17.000,,0
radar_s001,6740,0x0a38,1,,0.055,0.102,-0.184,17.000,,0
radar_s001,6806,0x0a38,1,,0.055,0.102,-0.184,17.000,,0
radar_s001,6871,phase,1,,0.525,0.114,0.166,17.000,,0
radar_s001,6943,0x0a38,1,,0.525,0.114,0.166,17.000,,0
radar_s001,7008,0x0a38,1,,0.525,0.114,0.166,17.000,,0
radar_s001,7073,phase,1,,0.079,0.115,-0.049,17.000,,0
radar_s001,7145,0x0a38,1,,0.079,0.115,-0.049,17.000,,0
radar_s001,7210,0x0a38,1,,0.079,0.115,-0.049,17.000,,0
radar_s001,7275,phase,1,,-0.056,0.108,-0.053,17.000,,0
radar_s001,7347,0x0a38,1,,-0.056,0.108,-0.053,17.000,,0
radar_s001,7412,0x0a38,1,,-0.056,0.108,-0.053,17.000,,0
