session_id,t_ms,type,human_present,range_cm,total_phase,breath_phase,heart_phase,breath_rate,heart_rate,quality_flag
radar_s001,0,phase,,,-0.153,-0.035,0.088,,,1
radar_s001,72,0x0a38,,,-0.153,-0.035,0.088,,,0
radar_s001,137,0x0a38,,,-0.153,-0.035,0.088,,,0
radar_s001,202,phase,,,-0.143,-0.088,0.034,,,0
radar_s001,274,0x0a38,,,-0.143,-0.088,0.034,,,0
radar_s001,339,0x0a38,,,-0.143,-0.088,0.034,,,0
radar_s001,404,phase,,,-0.151,-0.130,0.013,,,0
radar_s001,476,0x0a38,,,-0.151,-0.130,0.013,,,0
radar_s001,541,0x0a38,,,-0.151,-0.130,0.013,,,0
radar_s001,606,0x0a38,,,-0.151,-0.130,0.013,,,0
radar_s001,671,phase,,,-0.037,-0.166,-0.351,,,0
radar_s001,743,0x0a38,,,-0.037,-0.166,-0.351,,,0
radar_s001,808,0x0a38,,,-0.037,-0.166,-0.351,,,0
radar_s001,873,phase,,,0.126,-0.186,0.713,,,0
radar_s001,945,0x0a38,,,0.126,-0.186,0.713,,,0
radar_s001,1010,0x0a38,,,0.126,-0.186,0.713,,,0
radar_s001,1076,phase,,,0.178,-0.196,-0.307,,,0
radar_s001,1148,phase,,,-0.168,-0.197,-0.421,,,0
radar_s001,1220,0x0a38,,,-0.168,-0.197,-0.421,,,0
radar_s001,1285,0x0a38,,,-0.168,-0.197,-0.421,,,0
radar_s001,1350,phase,,,0.053,-0.195,0.029,,,0
radar_s001,1422,0x0a38,,,0.053,-0.195,0.029,,,0
radar_s001,1487,0x0a38,,,0.053,-0.195,0.029,,,0
radar_s001,1552,0x0a38,,,0.053,-0.195,0.029,,,0
radar_s001,1618,0x0a38,,,0.053,-0.195,0.029,,,0
radar_s001,1683,0x0a38,,,0.053,-0.195,0.029,,,0
radar_s001,1748,phase,,,-0.040,-0.179,0.019,,,0
radar_s001,1820,0x0a38,,,-0.040,-0.179,0.019,,,0
radar_s001,1885,0x0a38,,,-0.040,-0.179,0.019,,,0
radar_s001,1950,phase,,,-0.104,-0.164,0.120,,,0
radar_s001,2022,0x0a38,,,-0.104,-0.164,0.120,,,0
radar_s001,2087,0x0a38,,,-0.104,-0.164,0.120,,,0
radar_s001,2153,phase,,,-0.222,-0.138,-0.062,,,0
radar_s001,2225,0x0a38,,,-0.222,-0.138,-0.062,,,0
radar_s001,2290,0x0a38,,,-0.222,-0.138,-0.062,,,0
radar_s001,2355,phase,,,0.224,-0.100,-0.007,,,0
radar_s001,2427,text,,,0.224,-0.100,-0.007,,,0
radar_s001,2499,0x0a38,,,0.224,-0.100,-0.007,,,0
radar_s001,2564,0x0a38,,,0.224,-0.100,-0.007,,,0
radar_s001,2629,phase,,,0.206,-0.042,-0.112,,,0
radar_s001,2701,phase,,,-0.037,-0.031,-0.087,,,0
radar_s001,2773,0x0a38,,,-0.037,-0.031,-0.087,,,0
radar_s001,2838,phase,,,0.130,0.000,0.118,,,0
radar_s001,2910,0x0a38,,,0.130,0.000,0.118,,,0
radar_s001,2975,0x0a38,,,0.130,0.000,0.118,,,0
radar_s001,3040,phase,,,-0.044,0.033,-0.003,,,0
radar_s001,3112,0x0a38,,,-0.044,0.033,-0.003,,,0
radar_s001,3178,0x0a38,,,-0.044,0.033,-0.003,,,0
radar_s001,3243,phase,,,-0.142,0.051,0.037,,,0
radar_s001,3315,0x0a38,,,-0.142,0.051,0.037,,,0
radar_s001,3380,0x0a38,,,-0.142,0.051,0.037,,,0
radar_s001,3445,human_status,1,,-0.142,0.051,0.037,,,0
radar_s001,3512,phase,1,,-0.278,0.052,-0.085,,,0
radar_s001,3584,0x0a38,1,,-0.278,0.052,-0.085,,,0
radar_s001,3649,0x0a38,1,,-0.278,0.052,-0.085,,,0
radar_s001,3714,phase,1,,-0.107,0.037,-0.076,,,0
radar_s001,3786,0x0a38,1,,-0.107,0.037,-0.076,,,0
radar_s001,3851,0x0a38,1,,-0.107,0.037,-0.076,,,0
radar_s001,3916,phase,1,,0.214,0.016,0.082,,,0
radar_s001,3988,0x0a38,1,,0.214,0.016,0.082,,,0
radar_s001,4053,0x0a38,1,,0.214,0.016,0.082,,,0
radar_s001,4119,phase,1,,0.348,-0.001,0.055,,,0
radar_s001,4191,0x0a38,1,,0.348,-0.001,0.055,,,0
radar_s001,4256,0x0a38,1,,0.348,-0.001,0.055,,,0
radar_s001,4321,phase,1,,0.083,-0.010,-0.004,,,0
radar_s001,4393,0x0a38,1,,0.083,-0.010,-0.004,,,0
radar_s001,4458,0x0a38,1,,0.083,-0.010,-0.004,,,0
radar_s001,4523,phase,1,,-0.236,-0.012,-0.061,,,0
radar_s001,4595,0x0a38,1,,-0.236,-0.012,-0.061,,,0
radar_s001,4661,0x0a38,1,,-0.236,-0.012,-0.061,,,0
radar_s001,4726,phase,1,,-0.187,-0.010,-0.039,,,0
radar_s001,4798,0x0a38,1,,-0.187,-0.010,-0.039,,,0
radar_s001,4863,0x0a38,1,,-0.187,-0.010,-0.039,,,0
radar_s001,4928,phase,1,,0.043,-0.010,0.049,,,0
radar_s001,5000,text,1,,0.043,-0.010,0.049,,,0
radar_s001,5072,0x0a38,1,,0.043,-0.010,0.049,,,0
radar_s001,5137,0x0a38,1,,0.043,-0.010,0.049,,,0
radar_s001,5202,text,1,,0.043,-0.010,0.049,,,0
radar_s001,5273,0x0a38,1,,0.043,-0.010,0.049,,,0
radar_s001,5339,0x0a38,1,,0.043,-0.010,0.049,,,0
radar_s001,5404,text,1,,0.043,-0.010,0.049,,,0
radar_s001,5475,0x0a38,1,,0.043,-0.010,0.049,,,0
radar_s001,5540,0x0a38,1,,0.043,-0.010,0.049,,,0
radar_s001,5606,breath_rate,1,,0.043,-0.010,0.049,6.000,,0
radar_s001,5674,0x0a38,1,,0.043,-0.010,0.049,6.000,,0
radar_s001,5739,0x0a38,1,,0.043,-0.010,0.049,6.000,,0
radar_s001,5804,human_status,1,,0.043,-0.010,0.049,6.000,,0
radar_s001,5870,phase,1,,0.260,-0.015,0.064,6.000,,0
radar_s001,5942,0x0a38,1,,0.260,-0.015,0.064,6.000,,0
radar_s001,6008,0x0a38,1,,0.260,-0.015,0.064,6.000,,0
radar_s001,6073,phase,1,,0.042,-0.008,0.018,6.000,,0
radar_s001,6145,0x0a38,1,,0.042,-0.008,0.018,6.000,,0
radar_s001,6210,0x0a38,1,,0.042,-0.008,0.018,6.000,,0
radar_s001,6275,phase,1,,-0.178,0.001,-0.021,6.000,,0
radar_s001,6347,0x0a38,1,,-0.178,0.001,-0.021,6.000,,0
radar_s001,6412,0x0a38,1,,-0.178,0.001,-0.021,6.000,,0
radar_s001,6477,phase,1,,-0.183,0.011,0.054,6.000,,0
radar_s001,6549,0x0a38,1,,-0.183,0.011,0.054,6.000,,0
radar_s001,6615,0x0a38,1,,-0.183,0.011,0.054,6.000,,0
radar_s001,6680,phase,1,,0.030,0.024,-0.095,6.000,,0
radar_s001,6752,0x0a38,1,,0.030,0.024,-0.095,6.000,,0
radar_s001,6817,0x0a38,1,,0.030,0.024,-0.095,6.000,,0
radar_s001,6882,phase,1,,0.045,0.038,0.067,6.000,,0
radar_s001,6954,0x0a38,1,,0.045,0.038,0.067,6.000,,0
radar_s001,7019,0x0a38,1,,0.045,0.038,0.067,6.000,,0
radar_s001,7084,phase,1,,0.135,0.051,-0.026,6.000,,0
radar_s001,7156,breath_rate,1,,0.135,0.051,-0.026,5.000,,0
radar_s001,7224,0x0a38,1,,0.135,0.051,-0.026,5.000,,0
radar_s001,7289,0x0a38,1,,0.135,0.051,-0.026,5.000,,0
radar_s001,7354,phase,1,,0.027,0.060,0.035,5.000,,0
radar_s001,7426,0x0a38,1,,0.027,0.060,0.035,5.000,,0
radar_s001,7491,0x0a38,1,,0.027,0.060,0.035,5.000,,0
radar_s001,7556,phase,1,,0.005,0.057,0.029,5.000,,0
radar_s001,7628,0x0a38,1,,0.005,0.057,0.029,5.000,,0
radar_s001,7693,0x0a38,1,,0.005,0.057,0.029,5.000,,0
radar_s001,7759,track_position,1,,0.005,0.057,0.029,5.000,,0
radar_s001,7825,phase,1,,0.183,0.046,-0.019,5.000,,0
radar_s001,7897,0x0a38,1,,0.183,0.046,-0.019,5.000,,0
radar_s001,7962,0x0a38,1,,0.183,0.046,-0.019,5.000,,0
radar_s001,8027,phase,1,,-0.121,0.039,0.024,5.000,,0
radar_s001,8099,0x0a38,1,,-0.121,0.039,0.024,5.000,,0
radar_s001,8164,0x0a38,1,,-0.121,0.039,0.024,5.000,,0
radar_s001,8230,phase,1,,-0.101,0.039,-0.022,5.000,,0
radar_s001,8302,0x0a38,1,,-0.101,0.039,-0.022,5.000,,0
radar_s001,8367,0x0a38,1,,-0.101,0.039,-0.022,5.000,,0
radar_s001,8432,phase,1,,0.153,0.041,0.022,5.000,,0
radar_s001,8504,0x0a38,1,,0.153,0.041,0.022,5.000,,0
radar_s001,8569,0x0a38,1,,0.153,0.041,0.022,5.000,,0
radar_s001,8634,phase,1,,0.320,0.043,-0.037,5.000,,0
radar_s001,8706,0x0a38,1,,0.320,0.043,-0.037,5.000,,0
radar_s001,8771,0x0a38,1,,0.320,0.043,-0.037,5.000,,0
radar_s001,8836,phase,1,,0.197,0.038,0.027,5.000,,0
radar_s001,8908,text,1,,0.197,0.038,0.027,5.000,,0
radar_s001,8980,0x0a38,1,,0.197,0.038,0.027,5.000,,0
radar_s001,9045,phase,1,,-0.105,0.027,0.047,5.000,,0
radar_s001,9117,text,1,,-0.105,0.027,0.047,5.000,,0
radar_s001,9188,0x0a38,1,,-0.105,0.027,0.047,5.000,,0
radar_s001,9254,0x0a38,1,,-0.105,0.027,0.047,5.000,,0
radar_s001,9319,heart_rate,1,,-0.105,0.027,0.047,5.000,121.000,0
radar_s001,9386,0x0a38,1,,-0.105,0.027,0.047,5.000,121.000,0
radar_s001,9451,0x0a38,1,,-0.105,0.027,0.047,5.000,121.000,0
radar_s001,9517,text,1,,-0.105,0.027,0.047,5.000,121.000,0
radar_s001,9588,0x0a38,1,,-0.105,0.027,0.047,5.000,121.000,0
radar_s001,9653,0x0a38,1,,-0.105,0.027,0.047,5.000,121.000,0
radar_s001,9718,human_status,1,,-0.105,0.027,0.047,5.000,121.000,0
radar_s001,9785,0x0a38,1,,-0.105,0.027,0.047,5.000,121.000,0
radar_s001,9850,0x0a38,1,,-0.105,0.027,0.047,5.000,121.000,0
radar_s001,9915,0x0a38,1,,-0.105,0.027,0.047,5.000,121.000,0
radar_s001,9981,phase,1,,-0.249,-0.036,0.006,5.000,121.000,0
radar_s001,10053,0x0a38,1,,-0.249,-0.036,0.006,5.000,121.000,0
radar_s001,10118,0x0a38,1,,-0.249,-0.036,0.006,5.000,121.000,0
radar_s001,10183,phase,1,,0.000,-0.027,0.114,5.000,121.000,0
radar_s001,10255,0x0a38,1,,0.000,-0.027,0.114,5.000,121.000,0
