session_id,t_ms,type,human_present,range_cm,total_phase,breath_phase,heart_phase,breath_rate,heart_rate,quality_flag
radar_s003,0,text,,,,,,,,1
radar_s003,54,phase,,,-0.154,0.082,-0.290,,,1
radar_s003,90,target_range,,34.440,,,,,,1
radar_s003,91,human_status,1,,,,,,,1
radar_s003,92,track_position,,,,,,,,1
radar_s003,94,phase,,,0.055,0.076,-0.092,,,1
radar_s003,95,breath_rate,,,,,,7.000,,1
radar_s003,99,text,,,,,,,,1
radar_s003,155,phase,,,0.058,0.066,0.141,,,1
radar_s003,191,target_range,,34.440,,,,,,1
radar_s003,192,human_status,1,,,,,,,1
radar_s003,193,track_position,,,,,,,,1
radar_s003,195,phase,,,-0.073,0.053,0.325,,,1
radar_s003,196,breath_rate,,,,,,7.000,,1
radar_s003,199,text,,,,,,,,1
radar_s003,256,phase,,,-0.156,0.037,0.400,,,1
radar_s003,292,target_range,,34.440,,,,,,1
radar_s003,293,human_status,1,,,,,,,1
radar_s003,294,track_position,,,,,,,,1
radar_s003,297,phase,,,-0.292,0.018,0.351,,,1
radar_s003,300,breath_rate,,,,,,6.000,,1
radar_s003,301,text,,,,,,,,1
radar_s003,302,heart_rate,,,,,,,105.000,1
radar_s003,305,text,,,,,,,,1
radar_s003,361,phase,,,0.093,-0.002,0.211,,,1
radar_s003,399,target_range,,34.440,,,,,,1
radar_s003,400,human_status,1,,,,,,,1
radar_s003,400,track_position,,,,,,,,1
radar_s003,401,phase,,,0.233,-0.023,0.037,,,1
radar_s003,403,breath_rate,,,,,,6.000,,1
radar_s003,406,text,,,,,,,,1
radar_s003,462,phase,,,0.000,-0.044,-0.115,,,1
radar_s003,499,target_range,,34.440,,,,,,1
radar_s003,499,human_status,1,,,,,,,1
radar_s003,500,track_position,,,,,,,,1
radar_s003,503,phase,,,-0.032,-0.064,-0.212,,,1
radar_s003,504,breath_rate,,,,,,6.000,,1
radar_s003,507,text,,,,,,,,1
radar_s003,564,phase,,,-0.130,-0.083,-0.247,,,1
radar_s003,600,target_range,,34.440,,,,,,1
radar_s003,601,human_status,1,,,,,,,1
radar_s003,602,track_position,,,,,,,,1
radar_s003,604,phase,,,-0.132,-0.100,-0.228,,,1
radar_s003,605,breath_rate,,,,,,5.000,,1
radar_s003,609,text,,,,,,,,1
