session_id,t_ms,type,human_present,range_cm,total_phase,breath_phase,heart_phase,breath_rate,heart_rate,quality_flag
radar_s004,23,phase,,,-0.065,0.449,0.652,,,1
radar_s004,60,target_range,,34.440,,,,,,1
radar_s004,60,human_status,1,,,,,,,1
radar_s004,61,track_position,,,,,,,,1
radar_s004,63,phase,,,-0.296,0.434,0.465,,,1
radar_s004,64,breath_rate,,,,,,23.000,,1
radar_s004,67,text,,,,,,,,1
radar_s004,124,phase,,,-0.164,0.415,0.168,,,1
radar_s004,160,target_range,,34.440,,,,,,1
radar_s004,161,human_status,1,,,,,,,1
radar_s004,161,track_position,,,,,,,,1
radar_s004,164,phase,,,0.508,0.393,-0.098,,,1
radar_s004,165,breath_rate,,,,,,23.000,,1
radar_s004,170,text,,,,,,,,1
radar_s004,225,phase,,,-0.932,0.368,-0.225,,,1
radar_s004,260,target_range,,34.440,,,,,,1
radar_s004,261,human_status,1,,,,,,,1
radar_s004,262,track_position,,,,,,,,1
radar_s004,265,phase,,,-0.179,0.342,-0.188,,,1
radar_s004,266,breath_rate,,,,,,23.000,,1
radar_s004,271,text,,,,,,,,1
radar_s004,271,heart_rate,,,,,,,102.000,1
radar_s004,273,text,,,,,,,,1
radar_s004,330,phase,,,0.209,0.314,-0.046,,,1
radar_s004,365,target_range,,34.440,,,,,,1
radar_s004,366,human_status,1,,,,,,,1
radar_s004,367,track_position,,,,,,,,1
radar_s004,370,phase,,,0.951,0.285,0.097,,,1
radar_s004,371,breath_rate,,,,,,24.000,,1
radar_s004,374,text,,,,,,,,1
radar_s004,431,phase,,,0.436,0.256,0.149,,,1
radar_s004,466,target_range,,34.440,,,,,,1
radar_s004,467,human_status,1,,,,,,,1
radar_s004,470,track_position,,,,,,,,1
radar_s004,471,phase,,,0.239,0.227,0.078,,,1
radar_s004,472,breath_rate,,,,,,24.000,,1
radar_s004,475,text,,,,,,,,1
radar_s004,532,phase,,,0.228,0.199,-0.084,,,1
radar_s004,570,target_range,,34.440,,,,,,1
radar_s004,570,human_status,1,,,,,,,1
radar_s004,571,track_position,,,,,,,,1
radar_s004,572,phase,,,0.235,0.172,-0.256,,,1
radar_s004,573,breath_rate,,,,,,24.000,,1
radar_s004,576,text,,,,,,,,1
radar_s004,632,phase,,,-0.092,0.147,-0.360,,,1
radar_s004,670,target_range,,34.440,,,,,,1
radar_s004,671,human_status,1,,,,,,,1
radar_s004,671,track_position,,,,,,,,1
radar_s004,673,phase,,,-0.423,0.125,-0.357,,,1
radar_s004,674,breath_rate,,,,,,24.000,,1
radar_s004,677,text,,,,,,,,1
radar_s004,735,phase,,,0.383,0.105,-0.263,,,1
radar_s004,771,target_range,,34.440,,,,,,1
radar_s004,772,human_status,1,,,,,,,1
radar_s004,773,track_position,,,,,,,,1
radar_s004,776,phase,,,0.536,0.088,-0.130,,,1
radar_s004,777,breath_rate,,,,,,24.000,,1
radar_s004,780,text,,,,,,,,1
radar_s004,781,heart_rate,,,,,,,104.000,1
radar_s004,784,text,,,,,,,,1
radar_s004,841,phase,,,0.161,0.074,-0.014,,,1
radar_s004,876,target_range,,34.440,,,,,,1
radar_s004,877,human_status,1,,,,,,,1
radar_s004,880,track_position,,,,,,,,1
radar_s004,881,phase,,,0.095,0.063,0.058,,,1
radar_s004,882,breath_rate,,,,,,25.000,,1
radar_s004,885,text,,,,,,,,1
radar_s004,944,phase,,,0.206,0.054,0.099,,,1
radar_s004,980,target_range,,34.440,,,,,,1
radar_s004,981,human_status,1,,,,,,,1
radar_s004,982,track_position,,,,,,,,1
radar_s004,984,phase,,,0.393,0.048,0.144,,,1
radar_s004,986,breath_rate,,,,,,25.000,,1
radar_s004,991,text,,,,,,,,1
radar_s004,1050,phase,,,0.374,0.045,0.219,,,1
radar_s004,1082,target_range,,34.440,,,,,,1
radar_s004,1083,human_status,1,,,,,,,1
radar_s004,1084,track_position,,,,,,,,1
radar_s004,1087,phase,,,0.535,0.044,0.316,,,1
radar_s004,1090,breath_rate,,,,,,25.000,,1
radar_s004,1091,text,,,,,,,,1
radar_s004,1150,phase,,,0.389,0.044,0.389,,,1
radar_s004,1183,target_range,,34.440,,,,,,1
radar_s004,1184,human_status,1,,,,,,,1
radar_s004,1186,track_position,,,,,,,,1
radar_s004,1190,phase,,,0.527,0.047,0.381,,,1
radar_s004,1191,breath_rate,,,,,,25.000,,1
radar_s004,1192,text,,,,,,,,1
radar_s004,1250,phase,,,0.336,0.051,0.259,,,1
radar_s004,1286,target_range,,34.440,,,,,,1
radar_s004,1287,human_status,1,,,,,,,1
radar_s004,1290,track_position,,,,,,,,1
radar_s004,1291,phase,,,-0.134,0.057,0.042,,,1
radar_s004,1292,breath_rate,,,,,,25.000,,1
radar_s004,1295,text,,,,,,,,1
radar_s004,1296,heart_rate,,,,,,,107.000,1
radar_s004,1300,text,,,,,,,,1
radar_s004,1356,phase,,,-0.057,0.063,-0.202,,,1
radar_s004,1391,target_range,,34.440,,,,,,1
radar_s004,1392,human_status,1,,,,,,,1
radar_s004,1394,track_position,,,,,,,,1
radar_s004,1396,phase,,,-0.016,0.070,-0.384,,,1
radar_s004,1397,breath_rate,,,,,,25.000,,1
radar_s004,1400,text,,,,,,,,1
radar_s004,1461,phase,,,0.527,0.077,-0.439,,,1
radar_s004,1496,target_range,,34.440,,,,,,1
radar_s004,1497,human_status,1,,,,,,,1
radar_s004,1500,track_position,,,,,,,,1
radar_s004,1501,phase,,,0.344,0.084,-0.357,,,1
radar_s004,1502,breath_rate,,,,,,26.000,,1
radar_s004,1505,text,,,,,,,,1
radar_s004,1563,phase,,,0.403,0.090,-0.185,,,1
radar_s004,1600,target_range,,34.440,,,,,,1
radar_s004,1600,human_status,1,,,,,,,1
radar_s004,1601,track_position,,,,,,,,1
radar_s004,1603,phase,,,0.204,0.095,0.000,,,1
radar_s004,1604,breath_rate,,,,,,26.000,,1
radar_s004,1607,text,,,,,,,,1
radar_s004,1665,phase,,,0.479,0.098,0.128,,,1
radar_s004,1700,target_range,,34.440,,,,,,1
radar_s004,1701,human_status,1,,,,,,,1
radar_s004,1702,track_position,,,,,,,,1
radar_s004,1705,phase,,,0.850,0.100,0.167,,,1
radar_s004,1706,breath_rate,,,,,,26.000,,1
radar_s004,1711,text,,,,,,,,1
radar_s004,1769,phase,,,-0.388,0.100,0.132,,,1
radar_s004,1802,target_range,,34.440,,,,,,1
radar_s004,1803,human_status,1,,,,,,,1
radar_s004,1805,track_position,,,,,,,,1
radar_s004,1810,phase,,,-0.458,0.098,0.065,,,1
radar_s004,1810,breath_rate,,,,,,26.000,,1
radar_s004,1811,text,,,,,,,,1
radar_s004,1813,heart_rate,,,,,,,109.000,1
radar_s004,1816,text,,,,,,,,1
radar_s004,1872,phase,,,0.369,0.094,0.005,,,1
radar_s004,1910,target_range,,34.440,,,,,,1
radar_s004,1911,human_status,1,,,,,,,1
radar_s004,1911,track_position,,,,,,,,1
radar_s004,1912,phase,,,-2.500,0.088,-0.027,,,1
radar_s004,1914,breath_rate,,,,,,25.000,,1
radar_s004,1917,text,,,,,,,,1
radar_s004,1974,phase,,,-0.162,0.080,-0.036,,,1
radar_s004,2010,target_range,,34.440,,,,,,1
radar_s004,2011,human_status,1,,,,,,,1
radar_s004,2012,track_position,,,,,,,,1
radar_s004,2014,phase,,,-0.218,0.069,-0.040,,,1
radar_s004,2015,breath_rate,,,,,,23.000,,1
radar_s004,2019,text,,,,,,,,1
radar_s004,2075,phase,,,-0.139,0.055,-0.046,,,1
radar_s004,2111,target_range,,34.440,,,,,,1
radar_s004,2112,human_status,1,,,,,,,1
radar_s004,2112,track_position,,,,,,,,1
radar_s004,2115,phase,,,-0.054,0.037,-0.048,,,1
radar_s004,2116,breath_rate,,,,,,22.000,,1
radar_s004,2120,text,,,,,,,,1
radar_s004,2176,phase,,,0.002,0.016,-0.027,,,1
radar_s004,2211,target_range,,34.440,,,,,,1
radar_s004,2212,human_status,1,,,,,,,1
radar_s004,2214,track_position,,,,,,,,1
radar_s004,2216,phase,,,-0.076,-0.008,0.034,,,1
radar_s004,2217,breath_rate,,,,,,21.000,,1
radar_s004,2220,text,,,,,,,,1
radar_s004,2279,phase,,,0.019,-0.035,0.131,,,1
radar_s004,2313,target_range,,34.440,,,,,,1
radar_s004,2314,human_status,1,,,,,,,1
radar_s004,2315,track_position,,,,,,,,1
radar_s004,2319,phase,,,0.048,-0.065,0.231,,,1
radar_s004,2320,breath_rate,,,,,,20.000,,1
radar_s004,2322,text,,,,,,,,1
