session_id,t_ms,frame_id,radar_type,frame_len,data_len,frame_hex
radar_s003,0,4570,0x0100,32,23,0111DA00170100236272656174682072617465203D20372E30303030303020D1
radar_s003,30,4571,0x0a38,10,1,0111DB00010A380702FD
radar_s003,54,4572,0x0a13,21,12,0111DC000C0A132680381DBECEDBA83D446894BE62
radar_s003,87,4573,0x0a38,10,1,0111DD00010A380102FD
radar_s003,90,4574,0x0a18,11,2,0111DE00020A18210200FD
radar_s003,90,4575,0x0a16,17,8,0111DF00080A1624010000008FC20942F8
radar_s003,91,4576,0x0f09,11,2,0111E000020F090B0100FE
radar_s003,92,4577,0x0a17,17,8,0111E100080A171B5A45913D049FC43E2D
radar_s003,94,4578,0x0a13,21,12,0111E2000C0A131800E2613D50B19B3D98DEBCBD41
radar_s003,95,4579,0x0a14,13,4,0111E300040A14160000E0405F
radar_s003,99,4580,0x0100,32,23,0111E4001701001D6272656174682072617465203D20372E30303030303020D1
radar_s003,131,4581,0x0a38,10,1,0111E500010A383902FD
radar_s003,155,4582,0x0a13,21,12,0111E6000C0A131C00A86D3D184B873D8043103E03
radar_s003,191,4583,0x0a38,10,1,0111E700010A383B02FD
radar_s003,191,4584,0x0a18,11,2,0111E800020A18170200FD
radar_s003,191,4585,0x0a16,17,8,0111E900080A1612010000008FC20942F8
radar_s003,192,4586,0x0f09,11,2,0111EA00020F09010100FE
radar_s003,193,4587,0x0a17,17,8,0111EB00080A17115A45913D049FC43E2D
radar_s003,195,4588,0x0a13,21,12,0111EC000C0A1316008094BD9049583DAA9CA63E44
radar_s003,196,4589,0x0a14,13,4,0111ED00040A14180000E0405F
radar_s003,199,4590,0x0100,32,23,0111EE00170100176272656174682072617465203D20372E30303030303020D1
radar_s003,232,4591,0x0a38,10,1,0111EF00010A383302FD
radar_s003,256,4592,0x0a13,21,12,0111F0000C0A130A00EC1FBEA047163DD0FDCC3EA1
radar_s003,290,4593,0x0a38,10,1,0111F100010A382D02FD
radar_s003,291,4594,0x0a18,11,2,0111F200020A180D0200FD
radar_s003,292,4595,0x0a16,17,8,0111F300080A1608010000008FC20942F8
radar_s003,293,4596,0x0f09,11,2,0111F400020F091F0100FE
radar_s003,294,4597,0x0a17,17,8,0111F500080A170F5A45913D049FC43E2D
radar_s003,297,4598,0x0a13,21,12,0111F6000C0A130C808A95BE00D9953CAAEEB33E67
radar_s003,300,4599,0x0a14,13,4,0111F700040A14020000C0407F
radar_s003,301,4600,0x0100,32,23,0111F800170100016272656174682072617465203D20362E30303030303020D0
radar_s003,302,4601,0x0a15,13,4,0111F900040A150D0000D2426F
radar_s003,305,4602,0x0100,33,24,0111FA001801000C68656172742072617465203D203130352E30303030303020B0
radar_s003,339,4603,0x0a38,10,1,0111FB00010A382702FD
radar_s003,361,4604,0x0a13,21,12,0111FC000C0A130600E2BD3D00ECE2BA0412583E59
radar_s003,394,4605,0x0a38,10,1,0111FD00010A382102FD
radar_s003,395,4606,0x0a18,11,2,0111FE00020A18010200FD
radar_s003,399,4607,0x0a16,17,8,0111FF00080A1604010000008FC20942F8
radar_s003,400,4608,0x0f09,11,2,01120000020F09E80100FE
radar_s003,400,4609,0x0a17,17,8,01120100080A17F85A45913D049FC43E2D
radar_s003,401,4610,0x0a13,21,12,011202000C0A13FB80766E3EE0B9B9BC803F183D9F
radar_s003,403,4611,0x0a14,13,4,01120300040A14F50000C0407F
radar_s003,406,4612,0x0100,32,23,01120400170100FE6272656174682072617465203D20362E30303030303020D0
radar_s003,440,4613,0x0a38,10,1,01120500010A38DA02FD
radar_s003,462,4614,0x0a13,21,12,011206000C0A13FF0000F1B9504D33BDC00DEBBDBF
radar_s003,495,4615,0x0a38,10,1,01120700010A38D802FD
radar_s003,496,4616,0x0a18,11,2,01120800020A18F40200FD
radar_s003,499,4617,0x0a16,17,8,01120900080A16F1010000008FC20942F8
radar_s003,499,4618,0x0f09,11,2,01120A00020F09E20100FE
radar_s003,500,4619,0x0a17,17,8,01120B00080A17F25A45913D049FC43E2D
radar_s003,503,4620,0x0a13,21,12,01120C000C0A13F5002C04BD409C83BDB20E59BED3
radar_s003,504,4621,0x0a14,13,4,01120D00040A14FB0000C0407F
radar_s003,507,4622,0x0100,32,23,01120E00170100F46272656174682072617465203D20362E30303030303020D0
radar_s003,540,4623,0x0a38,10,1,01120F00010A38D002FD
radar_s003,564,4624,0x0a13,21,12,011210000C0A13E980C404BE18C4AABDF7F47CBE0B
radar_s003,599,4625,0x0a38,10,1,01121100010A38CE02FD
radar_s003,600,4626,0x0a18,11,2,01121200020A18EE0200FD
radar_s003,600,4627,0x0a16,17,8,01121300080A16EB010000008FC20942F8
radar_s003,601,4628,0x0f09,11,2,01121400020F09FC0100FE
radar_s003,602,4629,0x0a17,17,8,01121500080A17EC5A45913D049FC43E2D
radar_s003,604,4630,0x0a13,21,12,011216000C0A13EF00CE06BEA4B9CDBD54A469BEC3
radar_s003,605,4631,0x0a14,13,4,01121700040A14E10000A0401F
radar_s003,609,4632,0x0100,32,23,01121800170100E26272656174682072617465203D20352E30303030303020D3
radar_s003,641,4633,0x0a38,10,1,01121900010A38C602FD
radar_s003,665,4634,0x0a13,21,12,01121A000C0A13E300865BBDC44EEBBD678D2BBE3C
radar_s003,699,4635,0x0a38,10,1,01121B00010A38C402FD
radar_s003,700,4636,0x0a18,11,2,01121C00020A18E00200FD
radar_s003,700,4637,0x0a16,17,8,01121D00080A16E5010000008FC20942F8
radar_s003,701,4638,0x0f09,11,2,01121E00020F09F60100FE
radar_s003,703,4639,0x0a17,17,8,01121F00080A17E65A45913D049FC43E2D
radar_s003,705,4640,0x0a13,21,12,011220000C0A13D900A5B83D5C4801BEF22B9DBD8D
radar_s003,706,4641,0x0a14,13,4,01122100040A14D70000A0401F
radar_s003,709,4642,0x0100,32,23,01122200170100D86272656174682072617465203D20352E30303030303020D3
radar_s003,742,4643,0x0a38,10,1,01122300010A38FC02FD
radar_s003,766,4644,0x0a13,21,12,011224000C0A13DD00B6533D5D6209BEE00EF23C8F
radar_s003,801,4645,0x0a38,10,1,01122500010A38FA02FD
radar_s003,801,4646,0x0a18,11,2,01122600020A18DA0200FD
radar_s003,801,4647,0x0a16,17,8,01122700080A16DF010000008FC20942F8
radar_s003,802,4648,0x0f09,11,2,01122800020F09C00100FE
radar_s003,803,4649,0x0a17,17,8,01122900080A17D05A45913D049FC43E2D
radar_s003,806,4650,0x0a13,21,12,01122A000C0A13D300E0A43C22B20DBE4BEB033E39
radar_s003,809,4651,0x0a14,13,4,01122B00040A14DD0000A0401F
radar_s003,810,4652,0x0100,32,23,01122C00170100D66272656174682072617465203D20352E30303030303020D3
radar_s003,811,4653,0x0a15,13,4,01122D00040A15DA0000CE4273
radar_s003,814,4654,0x0100,33,24,01122E00180100DB68656172742072617465203D203130332E30303030303020B6
radar_s003,850,4655,0x0a38,10,1,01122F00010A38F002FD
radar_s003,871,4656,0x0a13,21,12,011230000C0A13C900E0AA3C360F0EBE5AFE443EDE
radar_s003,904,4657,0x0a38,10,1,01123100010A38EE02FD
radar_s003,905,4658,0x0a18,11,2,01123200020A18CE0200FD
radar_s003,906,4659,0x0a16,17,8,01123300080A16CB010000008FC20942F8
radar_s003,909,4660,0x0f09,11,2,01123400020F09DC0100FE
radar_s003,910,4661,0x0a17,17,8,01123500080A17CC5A45913D049FC43E2D
radar_s003,911,4662,0x0a13,21,12,011236000C0A13CF00A7523EE46C0ABEC140483EFF
radar_s003,912,4663,0x0a14,13,4,01123700040A14C10000A0401F
radar_s003,915,4664,0x0100,32,23,01123800170100C26272656174682072617465203D20352E30303030303020D3
radar_s003,949,4665,0x0a38,10,1,01123900010A38E602FD
radar_s003,972,4666,0x0a13,21,12,01123A000C0A13C300285DBDF3D802BEA766063E59
radar_s003,1005,4667,0x0a38,10,1,01123B00010A38E402FD
radar_s003,1006,4668,0x0a18,11,2,01123C00020A18C00200FD
radar_s003,1009,4669,0x0a16,17,8,01123D00080A16C5010000008FC20942F8
radar_s003,1009,4670,0x0f09,11,2,01123E00020F09D60100FE
radar_s003,1010,4671,0x0a17,17,8,01123F00080A17C65A45913D049FC43E2D
radar_s003,1013,4672,0x0a13,21,12,011240000C0A13B98039CF3E68F2EEBDF05C8E3C60
radar_s003,1014,4673,0x0a14,13,4,01124100040A14B70000C0407F
radar_s003,1017,4674,0x0100,32,23,01124200170100B86272656174682072617465203D20362E30303030303020D0
radar_s003,1050,4675,0x0a38,10,1,01124300010A389C02FD
radar_s003,1075,4676,0x0a13,21,12,011244000C0A13BD80B11C3FAC0CD1BD7B34DCBD0F
radar_s003,1109,4677,0x0a38,10,1,01124500010A389A02FD
radar_s003,1110,4678,0x0a18,11,2,01124600020A18BA0200FD
radar_s003,1110,4679,0x0a16,17,8,01124700080A16BF010000008FC20942F8
radar_s003,1111,4680,0x0f09,11,2,01124800020F09A00100FE
radar_s003,1113,4681,0x0a17,17,8,01124900080A17B05A45913D049FC43E2D
radar_s003,1115,4682,0x0a13,21,12,01124A000C0A13B3A0AA343F8883ACBDA5604CBED3
radar_s003,1116,4683,0x0a14,13,4,01124B00040A14BD0000E0405F
radar_s003,1119,4684,0x0100,32,23,01124C00170100B66272656174682072617465203D20372E30303030303020D1
radar_s003,1152,4685,0x0a38,10,1,01124D00010A389202FD
radar_s003,1176,4686,0x0a13,21,12,01124E000C0A13B780EAEC3E54DB81BDD67F69BE8A
radar_s003,1210,4687,0x0a38,10,1,01124F00010A389002FD
radar_s003,1210,4688,0x0a18,11,2,01125000020A18AC0200FD
radar_s003,1211,4689,0x0a16,17,8,01125100080A16A9010000008FC20942F8
radar_s003,1212,4690,0x0f09,11,2,01125200020F09BA0100FE
radar_s003,1214,4691,0x0a17,17,8,01125300080A17AA5A45913D049FC43E2D
radar_s003,1216,4692,0x0a13,21,12,011254000C0A13ADC0E3AC3E683C23BD8BA93FBE27
radar_s003,1219,4693,0x0a14,13,4,01125500040A14A300000041BE
radar_s003,1220,4694,0x0100,32,23,01125600170100AC6272656174682072617465203D20382E30303030303020DE
radar_s003,1253,4695,0x0a38,10,1,01125700010A388802FD
radar_s003,1277,4696,0x0a13,21,12,011258000C0A13A14093C43E606D63BC74DCC5BDD4
radar_s003,1310,4697,0x0a38,10,1,01125900010A388602FD
radar_s003,1311,4698,0x0a18,11,2,01125A00020A18A60200FD
radar_s003,1312,4699,0x0a16,17,8,01125B00080A16A3010000008FC20942F8
radar_s003,1313,4700,0x0f09,11,2,01125C00020F09B40100FE
radar_s003,1315,4701,0x0a17,17,8,01125D00080A17A45A45913D049FC43E2D
radar_s003,1319,4702,0x0a13,21,12,01125E000C0A13A7807F043EC07A673C70DA1A3C57
radar_s003,1320,4703,0x0a14,13,4,01125F00040A14A900001041AE
radar_s003,1321,4704,0x0100,32,23,011260001701009A6272656174682072617465203D20392E30303030303020DF
radar_s003,1322,4705,0x0a15,13,4,01126100040A15960000CE4273
radar_s003,1325,4706,0x0100,33,24,011262001801009768656172742072617465203D203130332E30303030303020B6
radar_s003,1360,4707,0x0a38,10,1,01126300010A38BC02FD
radar_s003,1382,4708,0x0a13,21,12,011264000C0A139D50BEABBF28F8323D5A82C73DF8
radar_s003,1415,4709,0x0a38,10,1,01126500010A38BA02FD
radar_s003,1416,4710,0x0a18,11,2,01126600020A189A0200FD
radar_s003,1419,4711,0x0a16,17,8,01126700080A169F010000008FC20942F8
radar_s003,1419,4712,0x0f09,11,2,01126800020F09800100FE
radar_s003,1420,4713,0x0a17,17,8,01126900080A17905A45913D049FC43E2D
radar_s003,1422,4714,0x0a13,21,12,01126A000C0A139380C04FBE34E7973DFF33163ED3
radar_s003,1423,4715,0x0a14,13,4,01126B00040A149D000020419E
radar_s003,1426,4716,0x0100,33,24,01126C00180100996272656174682072617465203D2031302E30303030303020E7
radar_s003,1460,4717,0x0a38,10,1,01126D00010A38B202FD
radar_s003,1483,4718,0x0a13,21,12,01126E000C0A13970068963CA483D63DBC541E3E39
radar_s003,1516,4719,0x0a38,10,1,01126F00010A38B002FD
radar_s003,1519,4720,0x0a18,11,2,01127000020A188C0200FD
radar_s003,1519,4721,0x0a16,17,8,01127100080A1689010000008FC20942F8
radar_s003,1520,4722,0x0f09,11,2,01127200020F099A0100FE
radar_s003,1521,4723,0x0a17,17,8,01127300080A178A5A45913D049FC43E2D
radar_s003,1523,4724,0x0a13,21,12,011274000C0A138D0068F43CBCBC093EFDD8083E7B
radar_s003,1524,4725,0x0a14,13,4,01127500040A1483000030418E
radar_s003,1527,4726,0x0100,33,24,01127600180100836272656174682072617465203D2031312E30303030303020E6
radar_s003,1560,4727,0x0a38,10,1,01127700010A38A802FD
radar_s003,1584,4728,0x0a13,21,12,011278000C0A138100EE99BD0E81263EFDAAD33D1B
radar_s003,1617,4729,0x0a38,10,1,01127900010A38A602FD
radar_s003,1620,4730,0x0a18,11,2,01127A00020A18860200FD
radar_s003,1620,4731,0x0a16,17,8,01127B00080A1683010000008FC20942F8
radar_s003,1621,4732,0x0f09,11,2,01127C00020F09940100FE
radar_s003,1621,4733,0x0a17,17,8,01127D00080A17845A45913D049FC43E2D
radar_s003,1624,4734,0x0a13,21,12,01127E000C0A13870084BBBDBAC1403E5CC1A73D7F
radar_s003,1625,4735,0x0a14,13,4,01127F00040A148900004041FE
radar_s003,1629,4736,0x0100,33,24,01128000180100756272656174682072617465203D2031322E30303030303020E5
radar_s003,1661,4737,0x0a38,10,1,01128100010A385E02FD
radar_s003,1685,4738,0x0a13,21,12,011282000C0A137B8036343EC2CB573E0C68A23DD8
radar_s003,1721,4739,0x0a38,10,1,01128300010A385C02FD
radar_s003,1721,4740,0x0a18,11,2,01128400020A18780200FD
radar_s003,1721,4741,0x0a16,17,8,01128500080A167D010000008FC20942F8
radar_s003,1722,4742,0x0f09,11,2,01128600020F096E0100FE
radar_s003,1722,4743,0x0a17,17,8,01128700080A177E5A45913D049FC43E2D
radar_s003,1725,4744,0x0a13,21,12,011288000C0A13710053363EA80B6B3EC43CBF3D28
radar_s003,1726,4745,0x0a14,13,4,01128900040A147F00005041EE
radar_s003,1729,4746,0x0100,33,24,01128A001801007F6272656174682072617465203D2031332E30303030303020E4
radar_s003,1762,4747,0x0a38,10,1,01128B00010A385402FD
radar_s003,1786,4748,0x0a13,21,12,01128C000C0A1375003C67BEBE127A3E0A57DF3D4D
radar_s003,1819,4749,0x0a38,10,1,01128D00010A385202FD
radar_s003,1820,4750,0x0a18,11,2,01128E00020A18720200FD
radar_s003,1821,4751,0x0a16,17,8,01128F00080A1677010000008FC20942F8
radar_s003,1822,4752,0x0f09,11,2,01129000020F09780100FE
radar_s003,1823,4753,0x0a17,17,8,01129100080A17685A45913D049FC43E2D
radar_s003,1826,4754,0x0a13,21,12,011292000C0A136B005587BE474A823E54CDD03D56
radar_s003,1829,4755,0x0a14,13,4,01129300040A146500006041DE
radar_s003,1830,4756,0x0100,33,24,01129400180100616272656174682072617465203D2031342E30303030303020E3
radar_s003,1831,4757,0x0a15,13,4,01129500040A15620000CA4277
radar_s003,1834,4758,0x0100,33,24,011296001801006368656172742072617465203D203130312E30303030303020B4
radar_s003,1870,4759,0x0a38,10,1,01129700010A384802FD
radar_s003,1891,4760,0x0a13,21,12,011298000C0A1361407897BE122F853E8009443D98
radar_s003,1924,4761,0x0a38,10,1,01129900010A384602FD
radar_s003,1925,4762,0x0a18,11,2,01129A00020A18660200FD
radar_s003,1926,4763,0x0a16,17,8,01129B00080A1663010000008FC20942F8
radar_s003,1929,4764,0x0f09,11,2,01129C00020F09740100FE
radar_s003,1930,4765,0x0a17,17,8,01129D00080A17645A45913D049FC43E2D
radar_s003,1931,4766,0x0a13,21,12,01129E000C0A136700F89EBE48A8853E289682BDFD
radar_s003,1932,4767,0x0a14,13,4,01129F00040A146900007041CE
radar_s003,1935,4768,0x0100,33,24,0112A000180100556272656174682072617465203D2031352E30303030303020E2
radar_s003,1970,4769,0x0a38,10,1,0112A100010A387E02FD
radar_s003,1992,4770,0x0a13,21,12,0112A2000C0A135B802078BEA2B0833E5E325FBEBB
radar_s003,2024,4771,0x0a38,10,1,0112A300010A387C02FD
radar_s003,2025,4772,0x0a18,11,2,0112A400020A18580200FD
radar_s003,2030,4773,0x0a16,17,8,0112A500080A165D010000008FC20942F8
radar_s003,2030,4774,0x0f09,11,2,0112A600020F094E0100FE
radar_s003,2031,4775,0x0a17,17,8,0112A700080A175E5A45913D049FC43E2D
radar_s003,2032,4776,0x0a13,21,12,0112A8000C0A13518065DBBEEC9B7E3ED46ABEBEF6
radar_s003,2033,4777,0x0a14,13,4,0112A900040A145F000080413E
radar_s003,2036,4778,0x0100,33,24,0112AA001801005F6272656174682072617465203D2031362E30303030303020E1
radar_s003,2071,4779,0x0a38,10,1,0112AB00010A387402FD
radar_s003,2092,4780,0x0a13,21,12,0112AC000C0A1355809F04BE7423713E95D9EEBE5E
radar_s003,2125,4781,0x0a38,10,1,0112AD00010A387202FD
radar_s003,2126,4782,0x0a18,11,2,0112AE00020A18520200FD
radar_s003,2129,4783,0x0a16,17,8,0112AF00080A1657010000008FC20942F8
radar_s003,2129,4784,0x0f09,11,2,0112B000020F09580100FE
radar_s003,2130,4785,0x0a17,17,8,0112B100080A17485A45913D049FC43E2D
radar_s003,2133,4786,0x0a13,21,12,0112B2000C0A134B003FE5BDBC335F3E3442E6BE58
radar_s003,2134,4787,0x0a14,13,4,0112B300040A14450000884136
radar_s003,2137,4788,0x0100,33,24,0112B400180100416272656174682072617465203D2031372E30303030303020E0
radar_s003,2170,4789,0x0a38,10,1,0112B500010A386A02FD
radar_s003,2193,4790,0x0a13,21,12,0112B6000C0A134F00E265BDD824493EC2A09ABE08
radar_s003,2226,4791,0x0a38,10,1,0112B700010A386802FD
radar_s003,2229,4792,0x0a18,11,2,0112B800020A18440200FD
