session_id,t_ms,type,human_present,range_cm,total_phase,breath_phase,heart_phase,breath_rate,heart_rate,quality_flag
radar_s002,0,target_range,,34.440,,,,,,1
radar_s002,1,human_status,1,,,,,,,1
radar_s002,3,track_position,,,,,,,,1
radar_s002,5,phase,,,-0.162,-0.096,-0.268,,,1
radar_s002,6,breath_rate,,,,,,6.000,,1
radar_s002,9,text,,,,,,,,1
radar_s002,66,phase,,,-0.115,-0.091,0.021,,,1
radar_s002,101,target_range,,34.440,,,,,,1
radar_s002,102,human_status,1,,,,,,,1
radar_s002,104,track_position,,,,,,,,1
radar_s002,109,phase,,,-0.269,-0.084,0.293,,,1
radar_s002,109,breath_rate,,,,,,5.000,,1
radar_s002,110,text,,,,,,,,1
radar_s002,170,phase,,,0.045,-0.075,0.444,,,1
radar_s002,202,target_range,,34.440,,,,,,1
radar_s002,203,human_status,1,,,,,,,1
radar_s002,204,track_position,,,,,,,,1
radar_s002,209,phase,,,0.284,-0.064,0.425,,,1
radar_s002,209,breath_rate,,,,,,5.000,,1
radar_s002,211,text,,,,,,,,1
radar_s002,270,phase,,,0.346,-0.052,0.266,,,1
radar_s002,303,target_range,,34.440,,,,,,1
radar_s002,304,human_status,1,,,,,,,1
radar_s002,305,track_position,,,,,,,,1
radar_s002,309,phase,,,0.434,-0.037,0.052,,,1
radar_s002,310,breath_rate,,,,,,5.000,,1
radar_s002,312,text,,,,,,,,1
radar_s002,313,heart_rate,,,,,,,85.000,1
radar_s002,316,text,,,,,,,,1
radar_s002,372,phase,,,0.255,-0.022,-0.121,,,1
radar_s002,409,target_range,,34.440,,,,,,1
radar_s002,409,human_status,1,,,,,,,1
radar_s002,410,track_position,,,,,,,,1
radar_s002,413,phase,,,0.319,-0.005,-0.192,,,1
radar_s002,414,breath_rate,,,,,,5.000,,1
radar_s002,418,text,,,,,,,,1
radar_s002,474,phase,,,0.086,0.013,-0.162,,,1
radar_s002,510,target_range,,34.440,,,,,,1
radar_s002,511,human_status,1,,,,,,,1
radar_s002,512,track_position,,,,,,,,1
radar_s002,514,phase,,,0.034,0.033,-0.077,,,1
radar_s002,515,breath_rate,,,,,,4.000,,1
radar_s002,519,text,,,,,,,,1
radar_s002,578,phase,,,0.015,0.053,-0.003,,,1
radar_s002,611,target_range,,34.440,,,,,,1
radar_s002,612,human_status,1,,,,,,,1
radar_s002,613,track_position,,,,,,,,1
radar_s002,616,phase,,,-0.313,0.075,0.019,,,1
radar_s002,619,breath_rate,,,,,,4.000,,1
radar_s002,620,text,,,,,,,,1
radar_s002,679,phase,,,-0.546,0.096,-0.014,,,1
radar_s002,712,target_range,,34.440,,,,,,1
radar_s002,713,human_status,1,,,,,,,1
radar_s002,715,track_position,,,,,,,,1
radar_s002,719,phase,,,-0.540,0.118,-0.067,,,1
radar_s002,720,breath_rate,,,,,,4.000,,1
radar_s002,721,text,,,,,,,,1
radar_s002,778,phase,,,-0.123,0.139,-0.092,,,1
radar_s002,813,target_range,,34.440,,,,,,1
radar_s002,814,human_status,1,,,,,,,1
radar_s002,819,track_position,,,,,,,,1
radar_s002,819,phase,,,-0.078,0.159,-0.058,,,1
radar_s002,820,breath_rate,,,,,,4.000,,1
radar_s002,822,text,,,,,,,,1
radar_s002,823,heart_rate,,,,,,,87.000,1
radar_s002,826,text,,,,,,,,1
radar_s002,883,phase,,,-0.075,0.177,0.032,,,1
radar_s002,919,target_range,,34.440,,,,,,1
radar_s002,920,human_status,1,,,,,,,1
radar_s002,921,track_position,,,,,,,,1
radar_s002,924,phase,,,-0.027,0.193,0.141,,,1
radar_s002,925,breath_rate,,,,,,5.000,,1
radar_s002,930,text,,,,,,,,1
radar_s002,985,phase,,,0.059,0.206,0.220,,,1
radar_s002,1020,target_range,,34.440,,,,,,1
radar_s002,1021,human_status,1,,,,,,,1
radar_s002,1023,track_position,,,,,,,,1
radar_s002,1025,phase,,,0.136,0.216,0.231,,,1
radar_s002,1026,breath_rate,,,,,,7.000,,1
radar_s002,1029,text,,,,,,,,1
radar_s002,1089,phase,,,0.205,0.223,0.163,,,1
radar_s002,1121,target_range,,34.440,,,,,,1
radar_s002,1122,human_status,1,,,,,,,1
radar_s002,1123,track_position,,,,,,,,1
radar_s002,1126,phase,,,0.127,0.228,0.037,,,1
radar_s002,1129,breath_rate,,,,,,8.000,,1
radar_s002,1130,text,,,,,,,,1
radar_s002,1189,phase,,,0.001,0.229,-0.107,,,1
radar_s002,1222,target_range,,34.440,,,,,,1
radar_s002,1223,human_status,1,,,,,,,1
radar_s002,1224,track_position,,,,,,,,1
radar_s002,1229,phase,,,0.062,0.227,-0.227,,,1
radar_s002,1229,breath_rate,,,,,,8.000,,1
radar_s002,1231,text,,,,,,,,1
radar_s002,1289,phase,,,0.126,0.223,-0.294,,,1
radar_s002,1324,target_range,,34.440,,,,,,1
radar_s002,1325,human_status,1,,,,,,,1
